State,Marijuana,Alcohol,Year
Virginia,6.63%,51.77%,2015
Washington,11.22%,57.26%,2015
West Virginia,6.92%,41.28%,2015
Wisconsin,6.89%,60.36%,2015
Wyoming,6.32%,54.32%,2015
Total U.S.,7.40%,52.13%,2013
Northeast,7.85%,57.75%,2013
Midwest,7.09%,55.23%,2013
South,6.13%,48.31%,2013
West,9.36%,51.02%,2013
Alabama,4.95%,43.63%,2013
Alaska,11.89%,53.01%,2013
Arizona,7.88%,51.12%,2013
Arkansas,5.69%,41.44%,2013
California,8.94%,49.43%,2013
Colorado,12.70%,61.03%,2013
Connecticut,8.95%,60.72%,2013
Delaware,7.97%,55.05%,2013
District of Columbia,12.01%,64.90%,2013
Florida,7.00%,51.78%,2013
Georgia,7.71%,47.11%,2013
Hawaii,8.61%,50.15%,2013
Idaho,5.53%,48.19%,2013
Illinois,6.95%,55.48%,2013
Indiana,6.28%,51.63%,2013
Iowa,5.98%,57.46%,2013
Kansas,4.41%,53.55%,2013
Kentucky,5.35%,44.40%,2013
Louisiana,5.07%,48.54%,2013
Maine,9.95%,54.66%,2013
Maryland,6.94%,58.37%,2013
Massachusetts,9.90%,64.74%,2013
Michigan,9.71%,54.55%,2013
Minnesota,6.21%,58.85%,2013
Mississippi,5.10%,42.74%,2013
Missouri,7.10%,51.70%,2013
Montana,10.33%,59.82%,2013
Nebraska,5.47%,56.37%,2013
Nevada,7.98%,54.65%,2013
New Hampshire,9.79%,65.19%,2013
New Jersey,5.21%,55.48%,2013
New Mexico,9.04%,50.33%,2013
New York,8.28%,56.35%,2013
North Carolina,6.17%,48.76%,2013
North Dakota,5.19%,59.04%,2013
Ohio,7.60%,53.83%,2013
Oklahoma,5.56%,47.57%,2013
Oregon,11.92%,57.91%,2013
Pennsylvania,6.46%,56.29%,2013
Rhode Island,14.08%,59.38%,2013
South Carolina,6.87%,49.59%,2013
South Dakota,5.03%,56.70%,2013
Tennessee,5.42%,38.61%,2013
Texas,5.31%,46.71%,2013
Utah,5.07%,31.30%,2013
Vermont,11.76%,58.82%,2013
Virginia,6.29%,55.15%,2013
Washington,12.28%,53.64%,2013
West Virginia,5.07%,38.16%,2013
Wisconsin,6.49%,61.56%,2013
Wyoming,5.82%,54.89%,2013
Total U.S.,7.96%,52.42%,2014
Northeast,8.58%,57.80%,2014
Midwest,7.50%,55.14%,2014
South,6.74%,48.74%,2014
West,9.84%,51.67%,2014
Alabama,5.57%,44.72%,2014
Alaska,11.85%,54.02%,2014
Arizona,8.80%,51.80%,2014
Arkansas,6.70%,42.45%,2014
California,9.20%,50.68%,2014
Colorado,14.93%,61.56%,2014
Connecticut,8.50%,59.92%,2014
Delaware,8.23%,56.59%,2014
District of Columbia,12.60%,68.03%,2014
Florida,7.58%,53.21%,2014
Georgia,7.76%,48.62%,2014
Hawaii,7.90%,49.57%,2014
Idaho,6.34%,47.12%,2014
Illinois,7.64%,55.55%,2014
Indiana,7.53%,51.08%,2014
Iowa,5.02%,56.15%,2014
Kansas,6.34%,53.78%,2014
Kentucky,6.75%,42.49%,2014
Louisiana,6.11%,49.13%,2014
Maine,12.67%,59.07%,2014
Maryland,8.55%,58.04%,2014
Massachusetts,11.75%,62.11%,2014
Michigan,10.18%,54.52%,2014
Minnesota,7.28%,58.77%,2014
Mississippi,5.85%,42.10%,2014
Missouri,7.98%,50.85%,2014
Montana,10.04%,58.39%,2014
Nebraska,5.79%,57.23%,2014
Nevada,7.76%,54.64%,2014
New Hampshire,11.51%,64.36%,2014
New Jersey,6.30%,56.95%,2014
New Mexico,9.56%,48.54%,2014
New York,8.52%,56.11%,2014
North Carolina,6.70%,47.02%,2014
North Dakota,5.77%,58.79%,2014
Ohio,6.93%,53.81%,2014
Oklahoma,6.22%,48.90%,2014
Oregon,12.38%,57.16%,2014
Pennsylvania,7.28%,57.12%,2014
Rhode Island,12.75%,57.82%,2014
South Carolina,6.57%,48.05%,2014
South Dakota,4.81%,55.21%,2014
Tennessee,5.54%,42.98%,2014
Texas,5.94%,47.27%,2014
Utah,5.58%,31.90%,2014
Vermont,13.24%,61.20%,2014
Virginia,6.86%,52.75%,2014
Washington,12.79%,53.71%,2014
West Virginia,6.30%,38.57%,2014
Wisconsin,6.46%,62.63%,2014
Wyoming,6.32%,55.45%,2014
